Temp,Lim,Volume,POP,CellVol,POC,PON,Chl,Growth
10,E,80,4.99E-07,761.15,3.45E-05,8.51E-06,0.002157853,
10,E,80,4.58E-07,850.05,2.77E-05,8.14E-06,0.002001441,
10,E,80,6.49E-07,855.49,3.45E-05,9.30E-06,0.002679638,
15,E,100,2.30E-07,795,2.09E-05,3.88E-06,0.00186799,1.05
15,E,100,4.34E-07,794.75,3.23E-05,7.68E-06,0.001653906,1.01
15,E,100,3.47E-07,787.95,3.08E-05,6.72E-06,,1.01
20,E,100,2.99E-07,602.5,1.78E-05,3.52E-06,0.002900306,1.53
20,E,100,3.29E-07,671.25,2.20E-05,3.96E-06,0.00288248,1.48
20,E,100,5.64E-07,610.7,1.66E-05,3.71E-06,0.002075185,1.66
25,E,100,3.65E-07,560.3,1.63E-05,3.02E-06,0.002862089,1.79
25,E,100,2.65E-07,541.15,1.40E-05,2.61E-06,0.002932245,1.75
25,E,100,2.85E-07,620.7,1.54E-05,3.55E-06,0.003929958,1.62
30,E,100,2.61E-07,587.83,1.68E-05,3.68E-06,2.48E-03,
30,E,100,2.49E-07,592.93,1.72E-05,3.37E-06,2.13E-03,
30,E,100,2.12E-07,620.66,1.82E-05,4.53E-06,2.66E-03,
10,P,70,8.31E-08,719,1.77E-05,4.40E-06,1.76E-03,0.875468737
10,P,70,1.02E-07,729,1.95E-05,5.87E-06,1.89E-03,0.875468737
10,P,70,9.87E-08,621,1.57E-05,3.25E-06,1.93E-03,0.875468737
10,P,50,4.03E-08,539,1.35E-05,2.42E-06,1.76E-03,0.538996501
10,P,50,3.82E-08,485,1.04E-05,1.70E-06,1.70E-03,0.538996501
10,P,50,3.19E-08,408,8.46E-06,1.32E-06,7.99E-04,0.538996501
10,P,30,2.91E-08,343.0740443,7.47E-06,1.17E-06,9.50E-04,0.287682072
10,P,30,3.04E-08,343.0740443,8.00E-06,1.20E-06,1.33E-03,0.287682072
10,P,30,4.64E-08,343.0740443,8.92E-06,1.36E-06,1.44E-03,0.287682072
10,P,10,4.19E-08,310.4033712,5.99E-06,9.22E-07,8.64E-04,0.087011377
10,P,10,5.31E-08,310.4033712,6.13E-06,8.95E-07,8.24E-04,0.087011377
10,P,10,6.24E-08,310.4033712,6.44E-06,9.41E-07,9.38E-04,0.087011377
15,P,80,5.68E-08,539.1908567,1.40E-05,1.95E-06,1.71E-03,1.098612289
15,P,80,7.72E-08,576.8718704,1.62E-05,2.21E-06,1.96E-03,1.098612289
15,P,80,7.00E-08,571.8604633,1.61E-05,2.68E-06,2.21E-03,1.098612289
15,P,70,4.88E-08,544.8157534,1.04E-05,1.41E-06,1.57E-03,0.875468737
15,P,70,6.87E-08,625.9481975,1.34E-05,1.93E-06,1.97E-03,0.875468737
15,P,70,5.04E-08,522.7055845,1.25E-05,1.96E-06,1.42E-03,0.875468737
15,P,60,4.80E-08,486,1.34E-05,1.74E-06,1.58E-03,0.69
15,P,60,4.90E-08,467,1.63E-05,1.95E-06,1.73E-03,0.69
15,P,60,5.10E-08,468,1.53E-05,1.92E-06,1.68E-03,0.69
15,P,50,3.30E-08,594,1.18E-05,2.07E-06,1.52E-03,0.54
15,P,50,4.14E-08,491,1.33E-05,2.05E-06,2.00E-03,0.54
15,P,50,3.69E-08,483,1.14E-05,1.73E-06,1.69E-03,0.54
15,P,40,3.92E-08,397,1.31E-05,1.56E-06,1.46E-03,0.41
15,P,40,4.16E-08,396,1.22E-05,1.41E-06,1.39E-03,0.41
15,P,40,3.67E-08,402,1.30E-05,1.53E-06,1.21E-03,0.41
15,P,30,2.15E-08,357,1.05E-05,1.45E-06,1.24E-03,0.29
15,P,30,1.94E-08,344,8.42E-06,1.24E-06,8.92E-04,0.29
15,P,30,2.93E-08,398,1.10E-05,1.95E-06,1.42E-03,0.29
15,P,20,1.77E-08,327,9.76E-06,8.08E-07,6.69E-04,0.18
15,P,20,1.87E-08,324,9.11E-06,7.65E-07,6.45E-04,0.18
15,P,20,1.85E-08,359,8.41E-06,7.66E-07,6.56E-04,0.18
15,P,10,1.70E-08,278,7.14E-06,9.80E-07,9.05E-04,0.09
15,P,10,1.71E-08,264,6.45E-06,7.21E-07,8.25E-04,0.09
15,P,10,1.59E-08,274,7.37E-06,8.26E-07,7.98E-04,0.09
20,P,90,7.84E-08,468.3131739,1.48E-05,2.62E-06,2.35E-03,1.386294361
20,P,90,7.69E-08,473.8017351,1.36E-05,2.48E-06,2.02E-03,1.386294361
20,P,90,8.72E-08,477.1891765,1.37E-05,2.11E-06,1.72E-03,1.386294361
20,P,80,6.79E-08,528.2154366,1.44E-05,2.40E-06,1.84E-03,1.098612289
20,P,80,7.79E-08,566.0506049,1.34E-05,2.27E-06,1.70E-03,1.098612289
20,P,80,7.60E-08,555.36552,1.73E-05,2.53E-06,2.33E-03,1.098612289
20,P,70,5.71E-08,718.6324083,1.53E-05,2.25E-06,2.03E-03,0.875468737
20,P,70,6.23E-08,648.3227206,1.42E-05,2.16E-06,1.73E-03,0.875468737
20,P,70,5.69E-08,648.3227206,1.40E-05,1.74E-06,1.92E-03,0.875468737
20,P,60,5.53E-08,513,1.65E-05,2.19E-06,1.65E-03,0.69
20,P,60,7.21E-08,611,1.85E-05,2.69E-06,2.19E-03,0.69
20,P,60,3.17E-08,463,1.04E-05,1.42E-06,1.61E-03,0.69
20,P,50,3.21E-08,381,9.47E-06,1.24E-06,1.03E-03,0.54
20,P,50,3.24E-08,363,9.29E-06,1.23E-06,8.86E-04,0.54
20,P,50,2.85E-08,337,1.16E-05,1.53E-06,1.17E-03,0.54
20,P,40,2.16E-08,351,8.78E-06,1.30E-06,8.57E-04,0.41
20,P,40,2.28E-08,341,9.51E-06,1.68E-06,1.02E-03,0.41
20,P,40,4.02E-08,329,8.17E-06,1.55E-06,1.06E-03,0.41
20,P,30,1.90E-08,295,8.22E-06,1.52E-06,9.17E-04,0.29
20,P,30,2.27E-08,299,,,0.000872979,0.29
20,P,30,1.92E-08,314,7.56E-06,1.22E-06,8.70E-04,0.29
20,P,20,1.81E-08,270,6.65E-06,7.36E-07,9.03E-04,0.18
20,P,20,1.73E-08,292,6.97E-06,7.58E-07,7.49E-04,0.18
20,P,20,1.57E-08,268,7.02E-06,8.45E-07,8.97E-04,0.18
20,P,10,1.52E-08,287,6.87E-06,6.80E-07,8.32E-04,0.09
20,P,10,1.70E-08,277,6.85E-06,6.58E-07,8.32E-04,0.09
20,P,10,2.10E-08,240,6.88E-06,8.89E-07,8.53E-04,0.09
25,P,90,1.38E-07,468,1.58E-05,4.12E-06,2.14E-03,1.386294361
25,P,90,9.09E-08,468,1.32E-05,1.28E-06,1.78E-03,1.386294361
25,P,90,9.60E-08,468,1.22E-05,1.71E-06,1.86E-03,1.386294361
25,P,80,5.86E-08,512,1.21E-05,2.13E-06,2.15E-03,1.098612289
25,P,80,6.98E-08,506,1.34E-05,1.24E-06,2.08E-03,1.098612289
25,P,80,7.25E-08,490,1.27E-05,9.82E-07,2.10E-03,1.098612289
25,P,70,5.28E-08,474,1.19E-05,3.01E-06,1.79E-03,0.875468737
25,P,70,6.27E-08,495,1.22E-05,7.32E-06,1.76E-03,0.875468737
25,P,70,5.46E-08,495,1.14E-05,1.85E-06,1.81E-03,0.875468737
25,P,60,3.62E-08,455,1.27E-05,1.58E-06,1.42E-03,0.69
25,P,60,2.76E-08,385,1.56E-05,1.17E-06,9.01E-04,0.69
25,P,60,3.44E-08,308,9.03E-06,1.24E-06,1.05E-03,0.69
25,P,50,3.27E-08,302,9.10E-06,1.23E-06,1.13E-03,0.54
25,P,50,2.53E-08,321,7.00E-06,8.66E-07,9.11E-04,0.54
25,P,50,2.90E-08,327,8.73E-06,1.17E-06,9.72E-04,0.54
25,P,40,2.27E-08,388,8.96E-06,9.67E-07,8.51E-04,0.41
25,P,40,1.83E-08,399,7.72E-06,7.84E-07,6.85E-04,0.41
25,P,40,2.60E-08,338,1.06E-05,1.23E-06,1.08E-03,0.41
25,P,30,1.95E-08,268,7.82E-06,9.55E-07,8.83E-04,0.29
25,P,30,2.23E-08,272,9.90E-06,1.11E-06,1.00E-03,0.29
25,P,30,2.01E-08,295,8.21E-06,8.99E-07,9.22E-04,0.29
25,P,20,2.34E-08,330,8.44E-06,7.46E-07,5.89E-04,0.18
25,P,20,2.02E-08,394,8.95E-06,7.09E-07,4.95E-04,0.18
25,P,20,5.33E-08,309,5.51E-06,4.76E-07,4.32E-04,0.18
25,P,10,1.62E-08,253,,,0.000422692,0.09
25,P,10,1.48E-08,250,4.21E-06,6.33E-07,3.71E-04,0.09
25,P,10,1.82E-08,251,1.07E-05,9.30E-07,4.48E-04,0.09
15,N,80,5.68E-08,430.25,1.22E-05,1.43E-06,8.77E-04,1.098612289
15,N,80,7.72E-08,435.64,1.53E-05,1.71E-06,9.83E-04,1.098612289
15,N,80,7.00E-08,435.64,1.40E-05,1.47E-06,9.79E-04,1.098612289
15,N,70,4.88E-08,430.25,1.47E-05,1.67E-06,7.85E-04,0.875468737
15,N,70,6.87E-08,479.18,1.71E-05,1.74E-06,8.50E-04,0.875468737
15,N,70,5.04E-08,473.8,1.51E-05,1.83E-06,8.70E-04,0.875468737
15,N,60,1.04E-07,376.5,9.74E-06,1.17E-06,8.79E-04,0.693147181
15,N,60,1.01E-07,352.8,8.70E-06,1.12E-06,7.40E-04,0.693147181
15,N,60,8.00E-08,358.2,8.91E-06,1.12E-06,8.92E-04,0.693147181
15,N,50,1.05E-07,399.4,1.12E-05,7.34E-07,7.00E-04,0.54
15,N,50,1.06E-07,396.8,1.06E-05,6.50E-07,6.37E-04,0.54
15,N,50,8.09E-08,130.8,9.62E-06,6.86E-07,5.71E-04,0.54
15,N,40,6.76E-08,324.3,9.45E-06,9.63E-07,6.87E-04,0.41
15,N,40,5.75E-08,324.8,8.72E-06,8.52E-07,6.21E-04,0.41
15,N,40,5.15E-08,319.2,8.22E-06,8.23E-07,6.73E-04,0.41
15,N,30,6.41E-08,266.1,7.45E-06,3.77E-07,2.55E-04,0.29
15,N,30,7.51E-08,273.3,8.27E-06,4.24E-07,2.40E-04,0.29
15,N,30,7.54E-08,271.9,8.57E-06,4.15E-07,2.76E-04,0.29
15,N,20,3.19E-08,222.1,6.02E-06,5.04E-07,2.63E-04,0.18
15,N,20,3.24E-08,214.7,5.97E-06,4.84E-07,2.87E-04,0.18
15,N,20,3.40E-08,215.3,6.06E-06,5.39E-07,3.07E-04,0.18
